Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Doctor Strange,tt1211837,nominated,false,false,true,
Kubo and the Two Strings,tt4302938,nominated,false,false,false,
O.J.: Made in America,tt5275892,won,false,false,false,
13th,tt5895028,nominated,true,false,false,
Fire at Sea,tt3652526,nominated,false,false,false,
I Am Not Your Negro,tt5804038,nominated,false,false,false,
"Life, Animated",tt3917210,nominated,false,true,false,
The White Helmets,tt6073176,won,true,false,false,
4.1 Miles,tt6279726,nominated,false,false,false,
Extremis,tt5538078,nominated,true,false,false,
Joe's Violin,tt5639178,nominated,false,false,false,
Watani: My Homeland,tt6195494,nominated,false,false,false,
Piper,tt5613056,won,false,false,true,
Blind Vaysha,tt5559726,nominated,false,false,false,
Borrowed Time,tt4874696,nominated,false,false,false,
Pear Cider and Cigarettes,tt5358978,nominated,false,false,false,
Pearl,tt5599918,nominated,false,false,false,
Mindenki,tt4571288,won,false,false,false,
Ennemis intérieurs,tt5467670,nominated,false,false,false,
La femme et le TGV,tt4661660,nominated,false,false,false,
Silent Nights,tt6460636,nominated,false,false,false,
Timecode,tt5699202,nominated,false,false,false,
The Salesman,tt5186714,won,false,false,false,
Land of Mine,tt3841424,nominated,false,false,false,
Tanna,tt4239726,nominated,false,false,false,
Toni Erdmann,tt4048272,nominated,false,false,false,
Zootopia,tt2948356,won,false,false,true,
My Life as a Zucchini,tt2321405,nominated,true,false,false,
The Red Turtle,tt3666024,nominated,false,false,false,
The Shape of Water,tt5580390,won,false,false,false,
Lady Bird,tt4925292,nominated,false,false,false,
The Post,tt6294822,nominated,false,false,false,
"Three Billboards Outside Ebbing, Missouri",tt5027774,nominated,false,false,false,
Get Out,tt5052448,won,false,false,false,
The Big Sick,tt5462602,nominated,false,false,false,
Call Me by Your Name,tt5726616,won,false,false,false,
Logan,tt3315342,nominated,false,false,false,
Molly's Game,tt4209788,nominated,true,false,false,
Mudbound,tt2396589,nominated,true,false,false,
The Disaster Artist,tt3521126,nominated,false,false,false,
Blade Runner 2049,tt1856101,won,false,false,false,
Dunkirk,tt5013056,won,false,false,false,
Baby Driver,tt3890160,nominated,false,false,false,
"I, Tonya",tt5580036,nominated,false,true,false,
Beauty and the Beast,tt2771200,nominated,false,false,false,
Phantom Thread,tt5776858,won,false,false,false,
Victoria & Abdul,tt5816682,nominated,false,false,false,
Darkest Hour,tt4555426,won,false,false,false,
Wonder,tt2543472,nominated,false,true,false,
Star Wars: Episode VIII - The Last Jedi,tt2527336,nominated,false,false,true,
Coco,tt2380307,won,false,false,true,
Marshall,tt5301662,nominated,false,false,false,
The Greatest Showman,tt1485796,nominated,false,false,false,
Guardians of the Galaxy Vol. 2,tt3896198,nominated,false,false,true,
Kong: Skull Island,tt3731562,nominated,false,false,false,
War for the Planet of the Apes,tt3450958,nominated,false,false,false,
Icarus,tt6333060,won,true,false,false,
Abacus: Small Enough to Jail,tt5952382,nominated,false,false,false,
Faces Places,tt5598102,nominated,false,false,false,
Last Men in Aleppo,tt6333074,nominated,false,false,false,
Strong Island,tt5873150,nominated,true,false,false,
Heaven Is a Traffic Jam on the 405,tt5095260,won,false,false,false,
Edith+Eddie,tt6519356,nominated,false,false,false,
Heroin(e),tt7389366,nominated,true,false,false,
Knife Skills,tt5745110,nominated,false,false,false,
Traffic Stop,tt7874708,nominated,false,false,false,
Ferdinand,tt3411444,nominated,false,false,false,
Loving Vincent,tt3262342,nominated,false,true,false,
The Boss Baby,tt3874544,nominated,false,false,false,
The Breadwinner,tt3901826,nominated,true,false,false,
Dear Basketball,tt6794476,won,false,false,false,
Garden Party,tt6426140,nominated,false,false,false,
Lou,tt6267732,nominated,false,false,true,
