Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Elton John: I'm Still Standing - A Grammy Salute,tt8264268,nominated,false,false,false,
Blue Planet II,tt6769208,won,false,false,false,
24/7,tt2667404,nominated,false,false,false,
"If You're Not in the Obit, Eat Breakfast",tt6963760,nominated,false,false,false,
Savage Kingdom,tt6498784,nominated,false,false,false,
Godless,tt5516154,won,true,false,false,
Somebody Feed Phil,tt7752034,nominated,true,false,false,
The Defenders,tt4230076,nominated,true,false,false,
The Putin Interviews,tt6840134,nominated,false,false,false,
The Tick,tt5540054,nominated,false,false,false,
A Christmas Story Live!,tt6881890,nominated,false,false,false,
Big Mouth,tt6524350,nominated,true,false,false,
The Good Fight,tt5853176,nominated,false,false,false,
Outlander,tt3006802,nominated,true,false,false,
The Late Late Show Carpool Karaoke Primetime Special,tt9576798,nominated,false,false,false,
Bill Nye Saves the World,tt6021260,nominated,true,false,false,
The Handmaid's Tale,tt5834204,won,false,true,false,
GLOW,tt5770786,won,true,false,false,
James Corden's Next James Corden,tt8134442,won,false,false,false,
An Emmy for Megan,tt8341974,nominated,false,false,false,
Grey's Anatomy: B-Team,tt7849864,nominated,false,false,false,
The Walking Dead: Red Machete,tt7517016,nominated,false,false,false,
aka Wyatt Cenac,tt8688320,nominated,false,false,false,
Anthony Bourdain: Explore Parts Unknown,tt10655258,won,false,false,false,
Inside Look: The Assassination of Gianni Versace - American Crime Story,tt8010592,nominated,false,false,false,
Carpool Karaoke,tt6396082,won,false,false,false,
Gay of Thrones,tt2946308,nominated,false,false,false,
Honest Trailers,tt2610260,nominated,false,false,false,
Ballers,tt2891574,nominated,false,false,false,
Vice Principals,tt3766376,nominated,false,false,false,
Stranger Things,tt4574334,won,true,false,false,
Waco,tt6040674,nominated,false,false,false,
Barry,tt5348176,won,false,false,false,
Lost in Space,tt5232792,nominated,true,false,false,
The Alienist,tt4604612,won,false,false,false,
Cobra Kai,tt7221388,nominated,false,false,false,
Blindspot,tt4474344,nominated,false,true,false,
The Punisher,tt5675620,nominated,true,false,false,
The 2018 Rock and Roll Hall of Fame Induction Ceremony,tt10170106,nominated,false,false,false,
Back to the Moon,tt8365290,nominated,false,false,false,
Better Call Saul,tt3032476,nominated,true,false,false,
Veep,tt1759761,won,false,false,false,
American Crime,tt3488298,nominated,true,false,false,
Roots,tt3315386,nominated,false,true,false,
Sherlock,tt1475582,won,true,false,false,
A Very Murray Christmas,tt4537842,nominated,true,false,false,
All the Way,tt3791216,nominated,false,false,false,
Confirmation,tt4608402,nominated,false,false,false,
Luther,tt1474684,nominated,false,true,false,
Comedians in Cars Getting Coffee,tt2314952,nominated,true,false,false,
Real Time with Bill Maher,tt0350448,nominated,false,false,false,
The Late Late Show Carpool Karaoke Primetime Special,tt5591608,won,false,false,false,
Adele Live in New York City,tt5164686,nominated,false,false,false,
Amy Schumer: Live at the Apollo,tt4909348,nominated,false,false,false,
Beyoncé: Lemonade,tt5662106,nominated,false,false,false,
The 38th Annual Kennedy Center Honors,tt5302576,nominated,false,false,false,
The Voice,tt1839337,won,false,true,false,
Ray Donovan,tt2249007,nominated,false,false,false,
Transparent,tt3502262,won,false,false,false,
The Night Manager,tt1399664,won,false,false,false,
Inside Amy Schumer,tt2578508,won,false,true,false,
Grease Live!,tt4366830,won,false,false,false,
The 58th Annual Grammy Awards,tt5515088,nominated,false,false,false,
The Good Wife,tt1442462,nominated,false,true,false,
UnREAL,tt3314218,nominated,false,true,false,
Master of None,tt4635276,won,true,false,false,
Catastrophe,tt4374208,nominated,false,false,false,
Patton Oswalt: Talking for Clapping,tt5457520,won,false,false,false,
John Mulaney: The Comeback Kid,tt5069564,nominated,true,false,false,
Tig Notaro: Boyish Girl Interrupted,tt4920096,nominated,false,false,false,
Triumph's Election Watch 2016,tt5361394,nominated,false,false,false,
Key and Peele,tt1981558,won,false,true,false,
Documentary Now!,tt4677934,nominated,true,false,false,
Shark Tank,tt1442550,won,false,true,false,
"Diners, Drive-ins and Dives",tt1020913,nominated,false,true,false,
MythBusters,tt0383126,nominated,false,true,false,
Born This Way,tt5219042,won,false,true,false,
Gaycation,tt5430288,nominated,false,true,false,
"What Happened, Miss Simone?",tt4284010,won,true,false,false,
Becoming Mike Nichols,tt5278964,nominated,false,false,false,
Everything Is Copy,tt2831414,nominated,false,false,false,
Listen to Me Marlon,tt4145178,nominated,false,false,false,
Mapplethorpe: Look at the Pictures,tt5275838,nominated,false,false,false,
Making a Murderer,tt5189670,won,true,false,false,
The Seventies,tt4491456,nominated,false,false,false,
Woman with Gloria Steinem,tt5761152,nominated,false,true,false,
The Story of God with Morgan Freeman,tt5242220,nominated,true,false,false,
Archer,tt1486217,won,false,true,false,
SpongeBob SquarePants,tt0206512,nominated,false,false,false,
The Powerpuff Girls,tt4718304,nominated,false,true,false,
Cartel Land,tt4126304,won,false,true,false,
Jim: The James Foley Story,tt5278466,won,false,false,false,
Racing Extinction,tt1618448,nominated,false,false,false,
The Black Panthers: Vanguard of the Revolution,tt4316236,nominated,false,false,false,
Winter on Fire: Ukraine's Fight for Freedom,tt4908644,nominated,true,false,false,
SuperMansion,tt4843640,nominated,false,false,false,
"It's Your 50th Christmas, Charlie Brown",tt5212188,won,false,false,false,
